title,category,start_datetime_local,end_datetime_local,location_name,address_text,city,source,source_url,scraped_at,start_dt,end_dt,start_date,start_hour
"tutto pronto per la sagra del pesce di melegnano (milano): gusto, spettacolo e tanta solidarietà con 50 voucher donati al comune",,2025-05-30T00:00:00+02:00,,Tensostruttura Musika Viva,"Via Lazio, 2, Melegnano, ",Milan,milanotoday,https://www.milanotoday.it/eventi/tutto-pronto-per-la-sagra-del-pesce-di-melegnano-milano-gusto-spettacolo-e-tanta-solidarieta-con-50-voucher-donati-al-comune.html,2025-12-22T16:54:49.130062+01:00,2025-05-30 00:00:00+02:00,,2025-05-30,0.0
Un altro sguardo: a Villa Panza in mostra le opere dalla Collezione Gemma De Angelis Testa,mostre fai,,,,,Milan,milanotoday,https://www.milanotoday.it/eventi/un-altro-sguardo-opere-collezione-testa.html,2025-12-22T16:54:51.691669+01:00,,,,
Un'azione: homo homini lupus,,2025-09-28T00:00:00+02:00,,FONDAZIONE IBVA,"Via Giuditta Sidoli, 15, Milano, Città Studi",Milan,milanotoday,https://www.milanotoday.it/eventi/un-azione-homo-homini-lupus-marco-ceriani-filippo-avalle-vincenzo-balena-bruno-bordoli-gaetano-orazio-monique-arnaud-sergio-gandini-astou-boisco.html,2025-12-22T16:54:54.383236+01:00,2025-09-28 00:00:00+02:00,,2025-09-28,0.0
Un Natale davvero speciale al charity shop della Croce Rossa,,2025-11-29T00:00:00+01:00,,Charity Shop,"Corso Garibaldi, 91, Milano, Porta Volta",Milan,milanotoday,https://www.milanotoday.it/eventi/un-natale-davvero-speciale-al-charity-shop-della-croce-rossa.html,2025-12-22T16:54:57.895795+01:00,2025-11-29 00:00:00+01:00,,2025-11-29,0.0
Un ospedale per amico: la grande festa per tutti i bambini di Milano! - 22ª edizione,,2025-09-20T00:00:00+02:00,,Piazzale Regione Lombardia,"Piazza Città di Lombardia, 1, Milano, Isola",Milan,milanotoday,https://www.milanotoday.it/eventi/un-ospedale-per-amico-la-grande-festa-per-tutti-i-bambini-di-milano-22-edizione.html,2025-12-22T16:55:01.661260+01:00,2025-09-20 00:00:00+02:00,,2025-09-20,0.0
un piccolo miracolo nelle sale di milano: “l’ultimo viaggio” alla nona replica all’arlecchino,,2025-05-23T00:00:00+02:00,,Cineteca Milano Arlecchino,"Via San Pietro All'Orto, 9, Milano, Duomo",Milan,milanotoday,https://www.milanotoday.it/eventi/un-piccolo-miracolo-nelle-sale-di-milano-l-ultimo-viaggio-alla-nona-replica-all-arlecchino.html,2025-12-22T16:55:05.592712+01:00,2025-05-23 00:00:00+02:00,,2025-05-23,0.0
"Una charity dinner con un asta benefica, a sostegno di Fondazione italiana diabete",,2025-11-13T00:00:00+01:00,,ROBERTAEBASTA,"Via Fiori Chiari, 16, Milano, Brera",Milan,milanotoday,https://www.milanotoday.it/eventi/una-charity-dinner-giovedi-13-novembre-2025-da-robertaebasta-a-milano-con-un-asta-benefica-a-sostegno-di-fondazione-italiana-diabete.html,2025-12-22T16:55:08.574813+01:00,2025-11-13 00:00:00+01:00,,2025-11-13,0.0
"Under pressure, Piero Addis e Jeff Spees",,2025-12-11T00:00:00+01:00,,SITEROOM,"Via Giorgio Washington, 106, Milano, Tortona",Milan,milanotoday,https://www.milanotoday.it/eventi/under-pressure-piero-addis-e-jeff-spees-piero-addis-e-jeff-spees.html,2025-12-22T16:55:14.124779+01:00,2025-12-11 00:00:00+01:00,,2025-12-11,0.0
Uniquedesignmilano sample sale,,2025-07-07T00:00:00+02:00,,Temporary Store,"Via Marcello Malpighi, 7, Milano, Porta Venezia",Milan,milanotoday,https://www.milanotoday.it/eventi/uniquedesignmilano-sample-sale-uniquedesignmilano-12692140.html,2025-12-22T16:55:17.400254+01:00,2025-07-07 00:00:00+02:00,,2025-07-07,0.0
"""Unlock your safety"": festa, musica e innovazione con Recall a Milano",,2025-09-07T00:00:00+02:00,,Vapore 1928,"Via Messina, 26, Milano, Cenisio Monumentale",Milan,milanotoday,https://www.milanotoday.it/eventi/unlock-your-safety-festa-musica-e-innovazione-con-recall-a-milano.html,2025-12-22T16:55:21.255846+01:00,2025-09-07 00:00:00+02:00,,2025-09-07,0.0
"Uno in due, un viaggio nell’aperitivo milanese tra arte e conversazione - ottavo appuntamento",,2025-11-19T00:00:00+01:00,,VIA STAMPA,"Via Stampa 8, Milano, Duomo",Milan,milanotoday,https://www.milanotoday.it/eventi/uno-in-due-un-viaggio-nell-aperitivo-milanese-tra-arte-e-conversazione-ottavo-appuntamento-13194450.html,2025-12-22T16:55:24.274568+01:00,2025-11-19 00:00:00+01:00,,2025-11-19,0.0
Uno in due. Un viaggio nell’aperitivo milanese tra arte e conversazione,,2025-10-15T00:00:00+02:00,,VIA STAMPA,"Via Stampa, 8, Milano, Duomo",Milan,milanotoday,https://www.milanotoday.it/eventi/uno-in-due-un-viaggio-nell-aperitivo-milanese-tra-arte-e-conversazione-settimo-appuntamento.html,2025-12-22T16:55:27.564410+01:00,2025-10-15 00:00:00+02:00,,2025-10-15,0.0
Uptown green week 2025,,2025-09-15T00:00:00+02:00,,Cascina Spazio Vivo,"Via Pier Paolo Pasolini, 3, Milano, Musocco",Milan,milanotoday,https://www.milanotoday.it/eventi/uptown-green-week-2025.html,2025-12-22T16:55:31.162896+01:00,2025-09-15 00:00:00+02:00,,2025-09-15,0.0
Alla scoperta dell'Urban Art nei pressi di Milano: visite gratuite il 7 e 8 giugno,eventi milano giugno,,,,,Milan,milanotoday,https://www.milanotoday.it/eventi/urban-art-visite-gratuite-giugno.html,2025-12-22T16:55:34.512311+01:00,,,,
Alla scoperta dell'Urban Art nei pressi di Milano: visite gratuite il 4 e 5 ottobre,,,,,,Milan,milanotoday,https://www.milanotoday.it/eventi/urban-art-visite-gratuite-ottobre.html,2025-12-22T16:55:36.844409+01:00,,,,
"Milano Urban Dance Festival 2025, le danze di tutto il mondo arrivano in città",Urban Dance Festival,2025-06-26T00:00:00+02:00,,,", Milano, ",Milan,milanotoday,https://www.milanotoday.it/eventi/urban-dance-festival-2025.html,2025-12-22T16:55:40.267759+01:00,2025-06-26 00:00:00+02:00,,2025-06-26,0.0
"Valentina Picello è ""Anna Cappelli"" al teatro Franco Parenti",,2025-10-28T00:00:00+01:00,,Teatro Franco Parenti,"Via Pier Lombardo, 14, Milano, Porta Romana",Milan,milanotoday,https://www.milanotoday.it/eventi/valentina-picello-e-anna-cappelli-al-teatro-franco-parenti-valentina-picello.html,2025-12-22T16:55:43.192823+01:00,2025-10-28 00:00:00+01:00,,2025-10-28,0.0
"Vedovamazzei, The Cool Couple e Nicolas Ballario protagonisti dell'ultimo appuntamento con uno in due",,2025-12-17T00:00:00+01:00,,Via Stampa,"Via Stampa, 8, Milano, Duomo",Milan,milanotoday,https://www.milanotoday.it/eventi/vedovamazzei-the-cool-couple-e-nicolas-ballario-protagonisti-dell-ultimo-appuntamento-con-uno-in-due.html,2025-12-22T16:55:45.900746+01:00,2025-12-17 00:00:00+01:00,,2025-12-17,0.0
venerdì 12 settembre 2025 apericena di socializzazione in urban pub nel centro di milano (mi),,2025-12-09T00:00:00+01:00,,Carlsberg Ol,"Bastioni di Porta Nuova, 9, Milano, Porta Nuova",Milan,milanotoday,https://www.milanotoday.it/eventi/venerdi-12-settembre-2025-apericena-di-socializzazione-in-urban-pub-nel-centro-di-milano-mi.html,2025-12-22T16:55:48.138628+01:00,2025-12-09 00:00:00+01:00,,2025-12-09,0.0
Cena milanese d’estate e musica live,,2025-07-18T00:00:00+02:00,,Hosteria della Musica,", Milano, ",Milan,milanotoday,https://www.milanotoday.it/eventi/venerdi-18-luglio-2025-cena-milanese-d-estate-e-musica-live-mi-12696268.html,2025-12-22T16:55:53.326741+01:00,2025-07-18 00:00:00+02:00,,2025-07-18,0.0
