station_id,name,lat,lon,num_bikes_available,num_docks_available,num_vehicles_available,collection_timestamp,timestamp,temperature_2m,precipitation,windspeed_10m,humidity,time_delta_minutes
2233,350 - Beccaria  2- Bersaglieri,45.46314852,9.19483504416882,11,18,11,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2236,380 - Inganni M1 - Zurigo,45.4568842675658,9.12287776850851,7,20,7,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2237,352 - Cordusio - Dante,45.46557,9.18566,16,13,16,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2238,361 - Bottini 1 - Lambrate M2,45.484573752732,9.23677669212935,24,3,24,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2239,362 - Bottini 2 - Lambrate M2,45.485060201592,9.23576418463039,4,19,4,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2240,372 - Soderini - Provincia di Milano,45.4565991971634,9.14228987095253,9,19,9,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2241,370 - Primaticcio - Corba,45.4530012694861,9.13344878650244,9,19,9,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2242,366 - Carlini - Dalviano,45.4530460437914,9.14203769137316,14,13,14,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2235,358 - Insubria - Bruno,45.4524786390243,9.2214320870205,20,1,20,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2179,219 - Firenze,45.48736974980699,9.15589496391729,22,7,22,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2178,221 - Accursio - Portello,45.4909258555569,9.145400726847583,23,10,23,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2177,270 - Stelvio - Farini,45.49472860992402,9.185019636206562,10,18,10,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2075,156 - Arcole - Argelati,45.449650734492096,9.17280614376068,17,17,17,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2127,216 - Romagna - Pascoli,45.4764271,9.2242174,20,15,20,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2125,214 - Susa - Sidoli,45.4688508,9.2240632,28,1,28,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
1951,31 - Brenta MM,45.4426254033088,9.219192266464232,7,24,7,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2103,186 - Procaccini - Gramsci,45.48198917149688,9.168377816677094,35,0,35,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2091,172 - Napoli - Washington,45.4545179837016,9.154707938432692,27,9,27,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2084,165 - Savona - Tolstoj,45.45008812692416,9.151406988658463,33,2,33,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2072,153 - Segantini - Darwin,45.4455297363669,9.1727471351624,31,4,31,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2042,122 - Bassini - Grossich,45.48096424257,9.235124588012695,25,10,25,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2064,145 - Lombardia - Vallazze,45.48405777859231,9.223684966564178,14,12,14,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2121,210 - Aspromonte - Pecchio,45.4841865938856,9.219327718019484,8,26,8,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2076,157 - Roncaglia - Washington,45.4587835996341,9.15437400341034,25,9,25,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2061,142 - Tiraboschi - Muratori,45.4521975113363,9.208676666021349,23,3,23,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2063,144 - Brescia,45.47155753330152,9.145389944314957,26,9,26,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2081,162 - Piola,45.480625729837705,9.224631786346436,25,8,25,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2113,199 - Galvani - Restelli - RL,45.48786945836362,9.196211099624634,5,20,5,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2078,159 - Gorini - Strambio,45.4734835774208,9.230583608150482,29,6,29,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2107,191 - Farini - Quadrio,45.48394602874478,9.182203316740924,32,0,32,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2065,146 - Crema - Giulio Romano,45.4480098982521,9.2027395963669,24,4,24,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2037,117 - Bacone - Monteverdi,45.4813309624015,9.21491682529449,23,5,23,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2041,121 - Melchiorre Gioia - Galvani,45.486803267063976,9.198075234889984,8,18,8,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2059,140 - Cirene - Friuli,45.4534854385523,9.212516248226166,5,17,5,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2057,138 - Cadore - Pinaroli,45.4583170202097,9.213141202926636,16,14,16,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2071,152 - San Gottardo - Gentilino,45.4488980632437,9.179865717887878,36,0,36,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2069,150 - Sraffa,45.44824887622469,9.186110571026802,24,10,24,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
2118,206 - Friuli,45.454779921587104,9.213594496250153,19,15,19,2025-12-09 20:56:00,2025-12-09 21:00:00,6.0,0.0,4.6,89,4.0
